id,lat,long,code
20146164,51.068219,-4.097884,62020
20146649,51.479317,-0.142265,62020
20146726,50.85998,-1.39621,74909
20149892,50.79932,-1.982743,87300
20149913,52.64853,0.68705,43210
20149989,52.68058,0.16566,74909
20150390,53.393858,-1.509302,62020
20150686,51.524624,-0.102229,64205
20151010,51.53042,0.0,62020
20151248,53.764361,-2.727209,62020
20151348,51.111529,-0.190322,45200
20151434,52.40271,-1.55345,64205
20156020,53.798598,-1.759183,01621
20158205,53.777948,-2.691421,62020
20158302,51.456411,-2.558422,74901
20159284,50.80836,-1.91881,62020
20159426,52.0756,0.01555,45200
20159688,51.515639,-0.568299,62020
20163937,51.50753,-0.58478,62020
20165780,51.844033,-2.193121,43210
20172447,51.51468,-0.12361,74901
20179979,51.44111,-2.55978,55100
20187003,53.25608,-2.51754,45200
20189767,51.66703,-0.40351,62020
20192801,51.48322,-0.47986,62020
20287667,55.94007,-3.21936,47110
20341871,53.784629,-1.788017,45200
20407075,51.6367,-1.50761,46180
20421771,52.21282,-0.90291,62020
20442971,51.511209,-0.379831,46180
20465002,54.904718,-1.382746,56101
20500876,51.565106,-0.23816,05101
